,n_total,n_fd,n_nofd,n_train_full,n_train_quantum,n_test,n_qubits,reps,C,min_magn,auc_rbf_full,acc_rbf_full,auc_rbf_sub,acc_rbf_sub,auc_qsvm,acc_qsvm,delta_auc_fair,delta_auc_full,File
0,380,190,190,285,100,95,8,3,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9073581560283688,0.8526315789473684,0.8922872340425532,0.8736842105263158,-0.0150709219858156,-0.0252659574468084,Results/exp_3.0_8_3_100.csv
0,380,190,190,285,150,95,8,3,1.0,3.0,0.9175531914893617,0.8842105263157894,0.911790780141844,0.8947368421052632,0.8962765957446809,0.8736842105263158,-0.015514184397163,-0.0212765957446807,Results/exp_3.0_8_3_150.csv
0,380,190,190,285,200,95,8,3,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9029255319148936,0.8736842105263158,0.9166666666666666,0.8736842105263158,0.013741134751773,-0.000886524822695,Results/exp_3.0_8_3_200.csv
0,380,190,190,285,250,95,8,3,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9179964539007092,0.8842105263157894,0.9104609929078014,0.8736842105263158,-0.0075354609929079,-0.0070921985815602,Results/exp_3.0_8_3_250.csv
0,380,190,190,285,50,95,8,3,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9100177304964538,0.8421052631578947,0.8785460992907802,0.8736842105263158,-0.0314716312056736,-0.0390070921985814,Results/exp_3.0_8_3_50.csv
0,214,107,107,160,100,54,4,1,1.0,4.0,0.8010973936899863,0.7777777777777778,0.7997256515775034,0.7592592592592593,0.9643347050754458,0.9074074074074074,0.1646090534979424,0.1632373113854595,Results/exp_4.0_4_1_100.csv
0,214,107,107,160,150,54,4,1,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7407407407407407,0.9547325102880658,0.9074074074074074,0.1536351165980795,0.1536351165980795,Results/exp_4.0_4_1_150.csv
0,214,107,107,160,160,54,4,1,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7777777777777778,0.9602194787379972,0.9074074074074074,0.1591220850480108,0.1591220850480108,Results/exp_4.0_4_1_200.csv
0,214,107,107,160,160,54,4,1,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7777777777777778,0.9602194787379972,0.9074074074074074,0.1591220850480108,0.1591220850480108,Results/exp_4.0_4_1_250.csv
0,214,107,107,160,50,54,4,1,1.0,4.0,0.8010973936899863,0.7777777777777778,0.7997256515775034,0.8703703703703703,0.9300411522633744,0.8888888888888888,0.130315500685871,0.1289437585733881,Results/exp_4.0_4_1_50.csv
0,214,107,107,160,100,54,4,2,1.0,4.0,0.8010973936899863,0.7777777777777778,0.7997256515775034,0.7592592592592593,0.9135802469135802,0.9074074074074074,0.1138545953360767,0.1124828532235938,Results/exp_4.0_4_2_100.csv
